id,stimulus,order,block,valence,arousal,familiarity,session,picture
02,8465,1,NA,8,2,NA,emot,Neutral
02,7595,2,NA,4,6,NA,emot,Neutral
02,5900,3,NA,8,3,NA,emot,Neutral
02,9043,4,1,2,7,NA,emot,Negative
02,7025,5,1,5,5,NA,emot,Neutral
02,5250,6,1,5,3,NA,emot,Neutral
02,7205,7,1,6,5,NA,emot,Neutral
02,2514,8,1,5,2,NA,emot,Neutral
02,9410,9,1,1,9,NA,emot,Negative
02,9187,10,1,1,9,NA,emot,Negative
02,7000,11,1,5,5,NA,emot,Neutral
02,3060,12,1,1,9,NA,emot,Negative
02,2511,13,1,7,2,NA,emot,Neutral
02,6561,14,1,3,7,NA,emot,Negative
02,2377,15,1,3,6,NA,emot,Neutral
02,8312,16,1,7,3,NA,emot,Neutral
02,7530,17,1,5,1,NA,emot,Neutral
02,7026,18,1,4,5,NA,emot,Neutral
02,2981,19,1,3,5,NA,emot,Negative
02,9040,20,1,2,8,NA,emot,Negative
02,9405,21,1,2,7,NA,emot,Negative
02,1300,22,1,4,7,NA,emot,Negative
02,3103,23,1,3,6,NA,emot,Negative
02,9405,24,2,3,7,NA,emot,Negative
02,2981,25,2,5,5,NA,emot,Negative
02,9043,26,2,4,6,NA,emot,Negative
02,8312,27,2,5,2,NA,emot,Neutral
02,5250,28,2,1,6,NA,emot,Neutral
02,1300,29,2,5,6,NA,emot,Negative
02,9040,30,2,1,8,NA,emot,Negative
02,9187,31,2,2,7,NA,emot,Negative
02,2377,32,2,5,5,NA,emot,Neutral
02,7000,33,2,7,1,NA,emot,Neutral
02,7205,34,2,7,5,NA,emot,Neutral
02,7025,35,2,5,4,NA,emot,Neutral
02,2514,36,2,8,2,NA,emot,Neutral
02,3103,37,2,2,7,NA,emot,Negative
02,9410,38,2,1,9,NA,emot,Negative
02,7026,39,2,4,7,NA,emot,Neutral
02,3060,40,2,2,8,NA,emot,Negative
02,6561,41,2,3,7,NA,emot,Negative
02,7530,42,2,5,2,NA,emot,Neutral
02,2511,43,2,5,3,NA,emot,Neutral
02,2511,44,3,5,3,NA,emot,Neutral
02,1300,45,3,4,5,NA,emot,Negative
02,9410,46,3,1,9,NA,emot,Negative
02,3103,47,3,3,8,NA,emot,Negative
02,9187,48,3,1,6,NA,emot,Negative
02,3060,49,3,1,9,NA,emot,Negative
02,2514,50,3,1,5,NA,emot,Neutral
02,9405,51,3,3,7,NA,emot,Negative
02,5250,52,3,5,7,NA,emot,Neutral
02,2981,53,3,4,5,NA,emot,Negative
02,9040,54,3,1,9,NA,emot,Negative
02,7026,55,3,8,2,NA,emot,Neutral
02,7025,56,3,8,5,NA,emot,Neutral
02,6561,57,3,1,7,NA,emot,Negative
02,7530,58,3,3,3,NA,emot,Neutral
02,7000,59,3,7,3,NA,emot,Neutral
02,2377,60,3,4,4,NA,emot,Neutral
02,9043,61,3,6,6,NA,emot,Negative
02,7205,62,3,2,7,NA,emot,Neutral
02,8312,63,3,7,1,NA,emot,Neutral
02,8465,64,NA,5,6,NA,emot,Neutral
02,5900,65,NA,3,6,NA,emot,Neutral
02,7595,66,NA,5,5,NA,emot,Neutral
03,5900,1,NA,4,3,NA,emot,Neutral
03,8465,2,NA,7,2,NA,emot,Neutral
03,7595,3,NA,5,5,NA,emot,Neutral
03,3022,4,1,2,6,NA,emot,Negative
03,3350,5,1,1,8,NA,emot,Negative
03,2102,6,1,5,5,NA,emot,Neutral
03,2487,7,1,8,2,NA,emot,Neutral
03,2374,8,1,9,1,NA,emot,Neutral
03,7185,9,1,5,5,NA,emot,Neutral
03,5726,10,1,8,2,NA,emot,Neutral
03,9584,11,1,1,8,NA,emot,Negative
03,2384,12,1,8,2,NA,emot,Neutral
03,9490,13,1,3,7,NA,emot,Negative
03,9183,14,1,1,8,NA,emot,Negative
03,3063,15,1,1,9,NA,emot,Negative
03,9253,16,1,1,9,NA,emot,Negative
03,7165,17,1,8,2,NA,emot,Neutral
03,2683,18,1,2,7,NA,emot,Negative
03,7175,19,1,5,4,NA,emot,Neutral
03,1201,20,1,1,9,NA,emot,Negative
03,5390,21,1,8,1,NA,emot,Neutral
03,1850,22,1,8,2,NA,emot,Neutral
03,6520,23,1,2,8,NA,emot,Negative
03,7175,24,2,5,4,NA,emot,Neutral
03,3063,25,2,1,9,NA,emot,Negative
03,9253,26,2,1,9,NA,emot,Negative
03,6520,27,2,2,8,NA,emot,Negative
03,3350,28,2,2,8,NA,emot,Negative
03,1201,29,2,1,9,NA,emot,Negative
03,2384,30,2,8,1,NA,emot,Neutral
03,5726,31,2,8,1,NA,emot,Neutral
03,3022,32,2,3,7,NA,emot,Negative
03,2102,33,2,4,5,NA,emot,Neutral
03,9183,34,2,3,7,NA,emot,Negative
03,1850,35,2,8,2,NA,emot,Neutral
03,5390,36,2,7,3,NA,emot,Neutral
03,2374,37,2,9,1,NA,emot,Neutral
03,7185,38,2,5,5,NA,emot,Neutral
03,2487,39,2,7,4,NA,emot,Neutral
03,9584,40,2,3,7,NA,emot,Negative
03,9490,41,2,3,7,NA,emot,Negative
03,7165,42,2,7,3,NA,emot,Neutral
03,2683,43,2,3,7,NA,emot,Negative
03,5726,44,3,7,2,NA,emot,Neutral
03,1201,45,3,1,9,NA,emot,Negative
03,3063,46,3,1,9,NA,emot,Negative
03,2374,47,3,7,2,NA,emot,Neutral
03,6520,48,3,3,7,NA,emot,Negative
03,3350,49,3,3,7,NA,emot,Negative
03,2102,50,3,4,6,NA,emot,Neutral
03,9584,51,3,2,8,NA,emot,Negative
03,2683,52,3,3,7,NA,emot,Negative
03,7185,53,3,5,5,NA,emot,Neutral
03,1850,54,3,8,2,NA,emot,Neutral
03,5390,55,3,7,2,NA,emot,Neutral
03,7175,56,3,6,5,NA,emot,Neutral
03,7165,57,3,6,4,NA,emot,Neutral
03,3022,58,3,3,7,NA,emot,Negative
03,9490,59,3,2,8,NA,emot,Negative
03,2384,60,3,8,1,NA,emot,Neutral
03,9253,61,3,1,9,NA,emot,Negative
03,9183,62,3,2,8,NA,emot,Negative
03,2487,63,3,6,3,NA,emot,Neutral
03,5900,64,NA,5,4,NA,emot,Neutral
03,7595,65,NA,5,5,NA,emot,Neutral
03,8465,66,NA,8,5,NA,emot,Neutral
04,7595,1,NA,8,2,NA,emot,Neutral
04,5900,2,NA,8,4,NA,emot,Neutral
04,8465,3,NA,8,1,NA,emot,Neutral
04,7025,4,1,7,6,NA,emot,Neutral
04,2511,5,1,8,1,NA,emot,Neutral
04,7530,6,1,3,3,NA,emot,Neutral
04,1300,7,1,1,9,NA,emot,Negative
04,3060,8,1,1,9,NA,emot,Negative
04,7026,9,1,9,1,NA,emot,Neutral
04,9043,10,1,7,3,NA,emot,Negative
04,3103,11,1,1,8,NA,emot,Negative
04,2377,12,1,9,2,NA,emot,Neutral
04,7205,13,1,7,3,NA,emot,Neutral
04,9040,14,1,1,9,NA,emot,Negative
04,2981,15,1,1,9,NA,emot,Negative
04,8312,16,1,7,7,NA,emot,Neutral
04,2514,17,1,9,1,NA,emot,Neutral
04,7000,18,1,7,2,NA,emot,Neutral
04,9410,19,1,1,9,NA,emot,Negative
04,9187,20,1,1,9,NA,emot,Negative
04,9405,21,1,1,9,NA,emot,Negative
04,5250,22,1,3,7,NA,emot,Neutral
04,6561,23,1,5,7,NA,emot,Negative
04,9187,24,2,1,9,NA,emot,Negative
04,7026,25,2,7,2,NA,emot,Neutral
04,9410,26,2,1,9,NA,emot,Negative
04,3060,27,2,1,9,NA,emot,Negative
04,2981,28,2,1,9,NA,emot,Negative
04,7205,29,2,8,3,NA,emot,Neutral
04,7025,30,2,8,2,NA,emot,Neutral
04,7000,31,2,7,2,NA,emot,Neutral
04,9040,32,2,1,9,NA,emot,Negative
04,6561,33,2,6,7,NA,emot,Negative
04,2514,34,2,9,1,NA,emot,Neutral
04,2511,35,2,4,7,NA,emot,Neutral
04,7530,36,2,5,4,NA,emot,Neutral
04,2377,37,2,7,2,NA,emot,Neutral
04,9043,38,2,7,6,NA,emot,Negative
04,3103,39,2,1,9,NA,emot,Negative
04,9405,40,2,1,9,NA,emot,Negative
04,1300,41,2,2,8,NA,emot,Negative
04,5250,42,2,2,6,NA,emot,Neutral
04,8312,43,2,4,4,NA,emot,Neutral
04,7026,44,3,8,2,NA,emot,Neutral
04,9040,45,3,1,9,NA,emot,Negative
04,7530,46,3,7,4,NA,emot,Neutral
04,8312,47,3,7,3,NA,emot,Neutral
04,7205,48,3,7,3,NA,emot,Neutral
04,3103,49,3,1,8,NA,emot,Negative
04,3060,50,3,1,9,NA,emot,Negative
04,5250,51,3,8,3,NA,emot,Neutral
04,9043,52,3,7,6,NA,emot,Negative
04,2511,53,3,6,6,NA,emot,Neutral
04,9405,54,3,1,9,NA,emot,Negative
04,2377,55,3,8,2,NA,emot,Neutral
04,9410,56,3,1,9,NA,emot,Negative
04,9187,57,3,1,9,NA,emot,Negative
04,7025,58,3,8,1,NA,emot,Neutral
04,2514,59,3,9,2,NA,emot,Neutral
04,2981,60,3,1,9,NA,emot,Negative
04,1300,61,3,1,9,NA,emot,Negative
04,6561,62,3,3,6,NA,emot,Negative
04,7000,63,3,8,2,NA,emot,Neutral
04,8465,64,NA,9,1,NA,emot,Neutral
04,5900,65,NA,8,3,NA,emot,Neutral
04,7595,66,NA,8,2,NA,emot,Neutral
05,7595,1,NA,5,5,NA,emot,Neutral
05,8465,2,NA,5,5,NA,emot,Neutral
05,5900,3,NA,5,5,NA,emot,Neutral
05,3063,4,1,1,9,NA,emot,Negative
05,1850,5,1,5,5,NA,emot,Neutral
05,5726,6,1,5,5,NA,emot,Neutral
05,9253,7,1,1,9,NA,emot,Negative
05,1201,8,1,5,5,NA,emot,Negative
05,5390,9,1,5,5,NA,emot,Neutral
05,6520,10,1,4,6,NA,emot,Negative
05,2487,11,1,5,5,NA,emot,Neutral
05,2102,12,1,5,5,NA,emot,Neutral
05,7175,13,1,5,5,NA,emot,Neutral
05,7185,14,1,5,1,NA,emot,Neutral
05,9490,15,1,4,6,NA,emot,Negative
05,2683,16,1,5,6,NA,emot,Negative
05,9584,17,1,5,7,NA,emot,Negative
05,3350,18,1,7,7,NA,emot,Negative
05,9183,19,1,5,7,NA,emot,Negative
05,2374,20,1,7,5,NA,emot,Neutral
05,2384,21,1,5,5,NA,emot,Neutral
05,7165,22,1,5,5,NA,emot,Neutral
05,3022,23,1,5,7,NA,emot,Negative
05,3350,24,2,7,7,NA,emot,Negative
