id,group,gender,pic_set
02,Nightmare,Male,B
03,Control,Female,A
04,Nightmare,Female,B
08,Nightmare,Female,B
09,Nightmare,Female,B
15,Control,Female,A
16,Control,Female,B
17,Nightmare,Female,A
19,Nightmare,Female,A
20,Nightmare,Male,A
23,Control,Female,A
24,Nightmare,Female,A
25,Nightmare,Female,A
26,Control,Female,B
27,Nightmare,Female,A
29,Nightmare,Female,B
33,Control,Female,B
34,Nightmare,Male,A
35,Nightmare,Male,B
37,Nightmare,Female,B
38,Control,Female,B
40,Nightmare,Female,A
41,Nightmare,Male,B
42,Control,Male,A
43,Control,Male,B
45,Nightmare,Male,B
47,Control,Female,A
49,Control,Male,A
50,Control,Female,A
52,Control,Female,A
53,Nightmare,Male,B
54,Control,Female,A
55,Nightmare,Female,B
56,Control,Female,B
60,Control,Female,A
61,Control,Female,B
62,Nightmare,Male,A
63,Nightmare,Female,A
64,Control,Female,B
65,Nightmare,Female,B
